iter	TotalF1	MultiClass
0	0.6026515522	2.191564575
1	0.6128708006	2.004722242
2	0.6125210675	1.878527743
3	0.6269836886	1.761724593
4	0.618248989	1.663666375
5	0.682327849	1.579568728
6	0.6738840104	1.508935625
7	0.6742135688	1.445083146
8	0.6756098472	1.386742908
9	0.6762710487	1.336868922
10	0.6928801716	1.291088944
11	0.6933844696	1.248994624
12	0.6947025933	1.211210011
13	0.6949159327	1.176365985
14	0.6947892529	1.146069902
15	0.6948577977	1.117894719
16	0.6956531287	1.090981984
17	0.6956387538	1.064829627
18	0.6961103347	1.0402231
19	0.7025489491	1.017737699
20	0.6985335644	0.997170644
21	0.698126511	0.9791213675
22	0.6998615594	0.9617216746
23	0.7003957095	0.9459354658
24	0.7068504262	0.9315292108
25	0.7099684057	0.9163240719
26	0.7130320736	0.9020074577
27	0.722293782	0.8883098853
28	0.718255308	0.8764732316
29	0.7223440323	0.8635382252
30	0.7219872659	0.8517219115
31	0.7207170467	0.8411226784
32	0.721487507	0.8304010684
33	0.7223504538	0.8220119165
34	0.7303173004	0.812728471
35	0.731149022	0.8039652767
36	0.7377228256	0.7953142745
37	0.7366196595	0.788006113
38	0.7370632507	0.7805411523
39	0.7383773757	0.7719113982
40	0.7379222081	0.7626790135
41	0.7388459366	0.7566761492
42	0.7395536115	0.7508677891
43	0.7387407893	0.7445318003
44	0.7385963863	0.7373912768
45	0.7400313988	0.7307705263
46	0.7402356508	0.7237784736
47	0.7406643542	0.7184466922
48	0.7417116911	0.7136407073
49	0.7454111515	0.7084559778
50	0.7462331821	0.7023440228
51	0.7475198789	0.6963316547
52	0.7476945694	0.6926897541
53	0.7483641456	0.6884559247
54	0.7503478431	0.6838512678
55	0.7510233862	0.6802811378
56	0.7513327591	0.6769175751
57	0.751409076	0.673841517
58	0.7511272222	0.6698768417
59	0.7521938496	0.6665524393
60	0.7528639202	0.6627044627
61	0.7546283696	0.6590168677
62	0.7567438028	0.654951665
63	0.7548236631	0.6508556423
64	0.7589399782	0.6478112882
65	0.7599363583	0.6452556178
66	0.7597095916	0.6415602688
67	0.7601079954	0.6380504134
68	0.7595708537	0.6356804892
69	0.761886473	0.6331629447
70	0.762242416	0.6292992524
71	0.7622458209	0.6263790273
72	0.7621951291	0.6242218611
73	0.7623012435	0.6217697037
74	0.7625464564	0.6197927086
75	0.7623477414	0.617010623
76	0.7633193757	0.614782285
77	0.7638888861	0.6126002813
78	0.7638917143	0.611131979
79	0.764582292	0.6094454406
80	0.7642713071	0.6081805979
81	0.7647485475	0.6063688415
82	0.7658937863	0.6046493931
83	0.7662387926	0.603062963
84	0.7678054901	0.6009117777
85	0.7673905624	0.5992117519
86	0.7673838989	0.597881601
87	0.7683953197	0.5963977644
88	0.769303625	0.5934135013
89	0.7703318478	0.5913758255
90	0.7711108344	0.5898402684
91	0.7723196425	0.5886745907
92	0.7730891651	0.5873118125
93	0.7713930954	0.5860270784
94	0.773340066	0.5844619583
95	0.7733651571	0.5836615787
96	0.7733751818	0.5828039104
97	0.7728939098	0.581239253
98	0.7731845758	0.5795020222
99	0.7735169279	0.578318254
