iter	Passed	Remaining
0	1085	107509
1	2174	106562
2	3250	105084
3	4389	105358
4	5729	108862
5	7046	110399
6	8173	108592
7	9242	106293
8	10346	104609
9	11458	103123
10	12629	102185
11	13845	101531
12	14985	100286
13	16093	98862
14	17194	97435
15	18279	95966
16	19403	94733
17	20456	93192
18	21688	92461
19	23138	92555
20	24594	92522
21	25981	92117
22	27064	90607
23	28204	89315
24	29390	88170
25	30573	87017
26	31692	85686
27	32900	84600
28	34131	83562
29	35333	82444
30	36447	81125
31	37546	79785
32	38687	78547
33	39889	77432
34	41193	76502
35	42365	75316
36	43445	73975
37	44567	72715
38	45702	71483
39	46762	70143
40	47853	68862
41	48986	67648
42	50157	66488
43	51249	65226
44	52420	64068
45	53549	62862
46	54658	61635
47	55745	60390
48	56962	59287
49	58132	58132
50	59196	56875
51	60265	55629
52	61334	54391
53	62463	53209
54	63602	52038
55	64820	50930
56	66106	49869
57	67372	48786
58	68454	47570
59	69543	46362
60	70597	45136
61	71650	43914
62	72727	42712
63	73788	41505
64	74861	40310
65	75929	39115
66	76981	37916
67	78063	36735
68	79121	35547
69	80167	34357
70	81226	33177
71	82288	32001
72	83340	30824
73	84407	29656
74	85486	28495
75	86552	27332
76	87694	26194
77	88803	25047
78	89870	23889
79	90962	22740
80	92029	21587
81	93124	20441
82	94218	19297
83	95323	18156
84	96424	17016
85	97499	15871
86	98576	14729
87	99636	13586
88	100710	12447
89	101781	11309
90	102864	10173
91	103954	9039
92	105405	7933
93	106471	6796
94	107522	5659
95	108593	4524
96	109719	3393
97	110852	2262
98	112086	1132
99	113223	0
